chutes,ladders,board_type,exact_roll,board_num,game_length,frequency
9,10,random,0,16,126,2
9,10,random,0,16,84,1
9,10,random,0,16,60,2
9,10,random,0,16,74,5
9,10,random,0,16,107,1
9,10,random,0,16,121,2
9,10,random,0,16,65,2
9,10,random,0,16,209,1
9,10,random,0,16,73,1
9,10,random,0,16,196,1
9,10,random,0,16,93,1
9,10,random,0,16,97,1
9,10,random,0,16,124,1
9,10,random,0,16,75,2
9,10,random,0,16,159,1
9,10,random,0,16,115,1
9,10,random,0,16,129,1
9,10,random,0,16,105,2
9,10,random,0,16,81,1
9,10,random,0,16,111,1
9,10,random,0,16,87,1
9,10,random,0,16,132,1
9,10,random,0,16,144,1
9,10,random,0,16,96,1
9,10,random,0,16,68,2
9,10,random,0,16,83,1
9,10,random,0,17,19,27
9,10,random,0,17,9,60
9,10,random,0,17,21,29
9,10,random,0,17,32,14
9,10,random,0,17,10,56
9,10,random,0,17,17,48
9,10,random,0,17,8,40
9,10,random,0,17,41,5
9,10,random,0,17,13,53
9,10,random,0,17,18,30
9,10,random,0,17,15,47
9,10,random,0,17,38,8
9,10,random,0,17,20,36
9,10,random,0,17,12,50
9,10,random,0,17,14,46
9,10,random,0,17,11,63
9,10,random,0,17,16,35
9,10,random,0,17,40,6
9,10,random,0,17,33,11
9,10,random,0,17,23,35
9,10,random,0,17,34,15
9,10,random,0,17,6,8
9,10,random,0,17,49,5
9,10,random,0,17,31,14
9,10,random,0,17,58,1
9,10,random,0,17,35,12
9,10,random,0,17,27,20
9,10,random,0,17,75,1
9,10,random,0,17,24,31
9,10,random,0,17,39,8
9,10,random,0,17,69,2
9,10,random,0,17,85,1
9,10,random,0,17,30,15
9,10,random,0,17,37,10
9,10,random,0,17,44,5
9,10,random,0,17,22,23
9,10,random,0,17,25,25
9,10,random,0,17,26,14
9,10,random,0,17,7,14
9,10,random,0,17,50,5
9,10,random,0,17,28,13
9,10,random,0,17,53,3
9,10,random,0,17,66,2
9,10,random,0,17,55,2
9,10,random,0,17,29,9
9,10,random,0,17,36,10
9,10,random,0,17,51,4
9,10,random,0,17,70,1
9,10,random,0,17,78,1
9,10,random,0,17,52,3
9,10,random,0,17,54,2
9,10,random,0,17,45,1
9,10,random,0,17,56,1
9,10,random,0,17,60,1
9,10,random,0,17,73,2
9,10,random,0,17,43,4
9,10,random,0,17,68,1
9,10,random,0,17,57,2
9,10,random,0,17,42,2
9,10,random,0,17,83,1
9,10,random,0,17,95,1
9,10,random,0,17,61,1
9,10,random,0,17,47,2
9,10,random,0,17,71,1
9,10,random,0,17,48,1
9,10,random,0,17,82,1
9,10,random,0,18,90,7
9,10,random,0,18,34,10
9,10,random,0,18,19,11
9,10,random,0,18,124,4
9,10,random,0,18,61,6
9,10,random,0,18,30,10
9,10,random,0,18,27,10
9,10,random,0,18,95,7
